N,omega,Actual,ln_N,S_correct,Predicted,Bias,formula,time_seconds,tier
6006000,6,72483,15.608269527525414,3.8787878787878793,73346.99416530546,-1.177954427632348,,,
8388608,1,24928,15.942385152878742,1.0,25221.40637118172,-1.163322801526911,,,
10210200,7,122502,16.138897778587584,4.137373737373737,123674.36186500608,-0.9479425220610772,,,
11550000,5,117125,16.26219599493208,3.555555555555556,118259.86912942148,-0.9596401025774012,,,
15015000,6,160514,16.524560259399568,3.8787878787878793,161996.360291929,-0.9150577761486086,,,
15315300,7,174221,16.544362886695748,4.137373737373737,175795.56799771317,-0.8956812823254159,,,
16777216,1,45746,16.635532333438686,1.0,45995.10990511981,-0.541600847641592,,,
20420400,7,223753,16.832044959147527,4.137373737373737,225814.31026113185,-0.9128342037969804,,,
23100000,5,214342,16.955343175492022,3.555555555555556,216089.7111590145,-0.8087896224399399,,,
23100000,5,214342,16.955343175492022,3.555555555555556,216089.7111590145,-0.8087896224399399,2310×10000,0.6169841289520264,
25525500,7,271966,17.05518851046174,4.137373737373737,274352.21392247546,-0.8697629548379531,,,
30030000,6,294266,17.21770743995951,3.8787878787878793,296466.37214025366,-0.7421995703488081,,,
30630600,7,319153,17.23751006725569,4.137373737373737,321756.9797050008,-0.8093001455285442,,,
33554432,1,83467,17.328679513998633,1.0,84228.60946607604,-0.9042170717335528,,,
34650000,5,305207,17.360808283600186,3.555555555555556,308025.77984268643,-0.9151116650450578,,,
34650000,5,305207,17.360808283600186,3.555555555555556,308025.77984268643,-0.9151116650450578,2310×15000,0.8786430358886719,
35735700,7,365404,17.391660747082952,4.137373737373737,368249.52390176815,-0.7727162472930171,,,
40840800,7,411126,17.525192139707475,4.137373737373737,413981.964344336,-0.68987651403106,,,
45045000,6,419713,17.62317254806768,3.8787878787878793,422955.38837667904,-0.7666029245125507,,,
45945900,7,455689,17.64297517536386,4.137373737373737,459065.0539578448,-0.7354195072654802,,,
46200000,5,393835,17.64849035605197,3.555555555555556,396424.2147790068,-0.6531424374391921,,,
46200000,5,393835,17.64849035605197,3.555555555555556,396424.2147790068,-0.6531424374391921,2310×20000,1.3721563816070557,
69300000,5,562729,18.053955464160133,3.555555555555556,566310.1708645842,-0.6323691589569712,2310×30000,2.10575532913208,
92400000,5,725103,18.34163753661192,3.555555555555556,729905.3161442752,-0.6579368635980734,2310×40000,3.1485657691955566,
102102000,7,922004,18.441482871581627,4.137373737373737,927670.502932162,-0.6108314228221736,510510×200,3.3051018714904785,
103950000,5,804316,18.459420572268296,3.555555555555556,809957.4179594959,-0.6965079687408984,2310×45000,3.539715528488159,
115500000,5,882627,18.56478108792612,3.555555555555556,889049.7138468501,-0.7224246008763111,2310×50000,3.675555229187012,1.0
150150000,6,1215656,18.82714535239361,3.8787878787878793,1223535.893040748,-0.6440263081424495,30030×5000,4.617571830749512,
150150000,6,1215656,18.82714535239361,3.8787878787878793,1223535.893040748,-0.6440263081424495,30030×5000,4.810687065124512,1.0
153153000,7,1319966,18.846947979689794,4.137373737373737,1328217.8544984255,-0.6212726677689214,510510×300,4.982020378112793,
173250000,5,1265124,18.970246196034285,3.555555555555556,1273344.5823725224,-0.6455897709326791,2310×75000,5.596967697143555,1.0
225225000,6,1741867,19.23261046050178,3.8787878787878793,1753625.5145285046,-0.6705259721124708,30030×7500,7.689828872680664,
225225000,6,1741867,19.23261046050178,3.8787878787878793,1753625.5145285046,-0.6705259721124708,30030×7500,7.473759889602661,1.0
