N,omega,Actual,Predicted,Bias,ln_N,S_correct,formula,time_seconds,tier
115500000,5,882627,889049.7138468501,-0.7224246008763111,18.56478108792612,3.5555555555555554,2310×50000,3.6755552291870117,1
150150000,6,1215656,1223535.893040748,-0.6440263081424495,18.827145352393615,3.8787878787878785,30030×5000,4.810687065124512,1
173250000,5,1265124,1273344.5823725224,-0.6455897709326791,18.970246196034285,3.5555555555555554,2310×75000,5.596967697143555,1
225225000,6,1741867,1753625.5145285046,-0.6705259721124708,19.23261046050178,3.8787878787878785,30030×7500,7.473759889602661,1
